city,Harbor City,Metroville,Greenfield,Riverside,Techport,Hilltown,Sunbay,Oldtown,Lakeside,Northgate
Harbor City,0.0,1.5475221093033749,4.577937122536311,3.371921275967619,1.7296565735959857,5.70212142775983,2.3979354781857207,2.7384077532198594,4.26446485595518,0.5576668417560992
Metroville,1.5475221093033749,0.0,6.086029523670887,4.894562502331528,0.9796330745583318,7.191605706805602,3.899494545710284,4.220185023018455,5.729158229397428,2.098370798343328
Greenfield,4.577937122536311,6.086029523670887,0.0,1.2333800999195532,6.023423685109793,1.1809117152158752,2.2540146540528956,2.309530016850473,0.7410729314744734,4.038677616225282
Riverside,3.371921275967619,4.894562502331528,1.2333800999195534,0.0,4.866442277226872,2.395438924329156,1.0735149816246103,1.2360275262062947,1.159832724015573,2.8319609618199193
Techport,1.7296565735959857,0.9796330745583318,6.023423685109793,4.866442277226873,0.0,7.125304425119666,3.8365811822070297,4.378682100298149,5.61541602553661,2.2085947803757793
Hilltown,5.70212142775983,7.191605706805602,1.1809117152158757,2.395438924329156,7.125304425119666,0.0,3.4096881967106296,3.3808698227015213,1.5672038807462578,5.163032079324866
Sunbay,2.3979354781857207,3.899494545710284,2.2540146540528956,1.0735149816246103,3.8365811822070297,3.4096881967106296,0.0,1.197892644357379,1.984492277326059,1.8879230469782209
Oldtown,2.7384077532198594,4.220185023018455,2.309530016850473,1.2360275262062947,4.378682100298149,3.3808698227015213,1.197892644357379,0.0,2.240755576902787,2.232197175561908
Lakeside,4.26446485595518,5.729158229397428,0.7410729314744734,1.159832724015573,5.61541602553661,1.5672038807462583,1.9844922773260587,2.240755576902787,0.0,3.7399610706909128
Northgate,0.5576668417560992,2.098370798343328,4.038677616225282,2.8319609618199193,2.2085947803757793,5.163032079324866,1.8879230469782209,2.232197175561908,3.7399610706909128,0.0
